year,ticker,profit,sales
2010,AIR,69.826,1775.782
2010,ADCT.1,62,1156.6
2010,AAL,-471,22170
2010,CECE,2.105,140.602
2010,AVX,244.003,1653.176
2010,PNW,350.053,3263.645
2010,PRG,118.376,1876.847
2010,ABT,4626.172,35166.721
2010,SERV.1,-2.319,26.158
2010,WDDD,-0.596,0.416
2010,ACETQ,6.581,346.631
2010,ACMTA,0.941,8.063
2010,ACU,2.573,63.149
2010,BKTI,-0.66,25.954
2010,ADX,,
2010,AE,8.631,2211.97
2010,AMD,471,6494
2010,AIM.1,0.625,29.618
2010,AET,,
2010,AET,1766.8,34246
2010,APD,1029.1,9026
2010,AIRT,2.138,83.362
2010,EGN1,46.883,619.772
2010,SO1,746,5976
2010,ALAN,-9.128,14.632
2010,ALK,251.1,3832.3
2010,ATRI,20.952,108.569
2010,ACV.1,155.31,1598.464
2010,MATX,92,1646
2010,ALX,,
2010,ALX,66.429,241.35
2010,ACEL.,-14.187,0.019
2010,ALCO,-0.623,79.792
2010,PBAJ,-2.625,0
2010,Y,198.502,990.552
2010,Y,,
2010,AYE,411.7,3902.9
2010,HON,2022,33370
2010,ALY,-39.512,659.665
2010,SWKS,137.294,1071.849
2010,APNI,-8.49,123.81
2010,AA.3,254,21013
2010,3AMBEQ,-0.097,0
2010,HES,2125,33862
2010,LCC,502,11908
2010,AMR1,-469,22150
2010,UHAL,183.575,2241.275
2010,ABLT,57.169,201.628
2010,BEAM.2,487.6,6570.5
2010,ABM,64.121,3495.747
2010,PRI,,
2010,PRI,257.778,1361.863
2010,VBF,,
2010,2388B,34.957,1203.897
2010,ECOL,12.584,104.836
2010,AEP,1214,14427
2010,AXP,4057,30242
2010,AXP,,
2010,AXP1,348,980
2010,AFL,2344,20732
2010,AFL,,
2010,AM.1,87.018,1592.568
2010,AIG,7786,76791
2010,AIG,,
2010,ALGI,0.068,12.099
2010,TEEE.,-0.157,0
2010,AMAC,2.386,40.771
2010,ANAT,144.026,3067.088
2010,ANAT,,
2010,APFC,-3.277,176.192
2010,ARL,-94.747,165.455
2010,ARL,,
2010,ASEI,42.817,278.576
2010,AMS,0.057,16.675
2010,AMSWA,7.364,85.589
2010,AVD,10.984,229.62
2010,AMN.2,46.254,503.259
2010,AME,283.932,2470.952
2010,AMGN,4627,15053
2010,AMPLQ,-44.742,504.03
2010,AMPLQ,,
2010,AP,15.456,326.886
2010,AXR,-7.561,96.837
2010,AXR,,
2010,ADI,712.084,2761.503
2010,ALOG,15.555,423.597
2010,ANLY,-0.48,106.688
2010,ANEN,13.712,168.789
2010,ANDR,-0.078,4.915
2010,ANDE,64.662,3393.791
2010,MXLP,-5.477,954.404
2010,APA,3032,12183
2010,ASOE,-5.83,9.594
2010,APOG,-10.332,582.777
2010,AEP1,136.668,3275.103
2010,AAPL,14013,65225
2010,AMAT,937.866,9548.667
2010,EPAC,24.031,1160.508
2010,TREC,2.686,139.11
2010,AOXY,0.018,0.035
2010,ADM,1930,61682
2010,ARDNA,18.085,417.065
2010,PNW1,335.663,3180.807
2010,ARCB,-32.693,1657.864
2010,ETR1,172.618,2082.447
2010,ARW,479.63,18744.676
2010,ARTW,1.053,28.951
2010,ASH,332,9012
2010,ALOT,2.062,71.016
2010,ATRO,14.948,195.754
2010,SO7,234,2373
2010,ATW,256.996,650.562
2010,REX,5.069,301.674
2010,ASAM,0.893,66.401
2010,ADSK,212,1951.8
2010,ADP,1211.4,8927.7
2010,AVHI,-35.108,57.839
2010,AVY,316.9,6512.7
2010,AVT,410.37,19160.172
2010,AVP,605.9,10862.8
2010,AZZ,34.963,380.649
2010,BRT,-8.015,8.331
2010,BRT,,
2010,PRSNQ,-7.457,1.582
2010,BMI,28.662,276.634
2010,BKR.1,12.166,499.353
2010,BHI,812,14414
2010,BCPC,33.277,255.071
2010,PTVCB,25.015,241.263
2010,PTVCB,,
2010,BLL,468,7630
2010,CEG,-931.8,14340
2010,BPOP,,
2010,BPOP,137.401,2595.637
2010,BOH,,
2010,BOH,183.942,721.054
2010,BTEC.1,-22.363,254.211
2010,EMA1.,32.17,167.514
2010,BK,2518,14483
2010,BK,,
2010,BRE,53.389,347.615
2010,BRE,,
2010,BCR,509.2,2720.2
2010,B,53.278,1133.199
2010,BRN,3.84,41.851
2010,DFZ,9.4,123.787
2010,ESTE.1,1.602,8.206
2010,BSET,-2.002,235.254
2010,6583B,,
2010,BAX,1420,13056
2010,BRCOQ,-2.84,0.785
2010,AIT,65.903,1893.208
2010,BDX,1317.61,7372.333
2010,BELFB,13.649,302.539
2010,4994B,40.146,66.38
2010,VZ,2549,106800
2010,BLLI,0.296,112.171
2010,BLC,86.906,687.395
2010,BMS,205.111,4835.042
2010,BNHN,1.335,327.64
2010,BRK.B,12967,135028
2010,BRK.B,,
2010,BBY,1277,50272
2010,BIO,185.49,1927.118
2010,SVNTQ,-73.109,4.028
2010,5938B,-849.8,2732.2
2010,3BTEL,-0.283,11.012
2010,SPEX.2,-7.736,1.433
2010,NIMU,-1.624,0.617
2010,BKH,68.685,1307.251
2010,HRB,406.11,3774.296
2010,BLT,47.2,611.48
2010,BRRE,-3.409,5.887
2010,BOBE,54.163,1676.906
2010,BA,3307,64306
2010,OMX,71.155,7150.007
2010,BOLT.1,4.954,31.485
2010,RHI,66.069,3175.093
2010,0141A,214,4818
2010,NST,354.909,2916.921
2010,RFP,2614,4746
2010,ENTP,-0.058,17.037
2010,BWL.A,1.851,27.084
2010,BRC,81.956,1259.096
2010,BRID,4.319,117.655
2010,BGGSQ,36.615,2027.872
2010,MSGI,-13.372,0
2010,BMY,3102,19484
2010,BNSSA,18.879,0
2010,BF.B,572,2589
2010,CAL,37.233,2504.091
2010,BC,-110.6,3403.3
2010,MTRN,46.427,1302.314
2010,0015B,30.998,3701.089
2010,BRK3,2459,16850
2010,MTZ,90.528,2308.031
2010,UIS,236.1,4019.6
2010,BUKS,1.26,46.335
